product_id,product_name,product_type,price,region
1085,Smart LED Desk Lamp,Electronics,97.95,North
1086,Rain Jacket,Clothing,36.36,South
1087,Insulated Water Bottle,Sports,172.39,East
1088,Adjustable Dumbbells,Sports,73.3,East
1089,Whey Protein Powder,Grocery,3.48,East
1090,Organic Rolled Oats,Grocery,39.44,North
1091,27-inch 4K Monitor,Electronics,28.72,East
1092,Electrolyte Drink Mix,Grocery,49.45,East
1093,Slim-Fit Chinos,Clothing,144.9,North
1094,Mechanical Keyboard,Electronics,7.13,West
1095,Oak Dining Table,Furniture,87.17,West
1096,Running Shoes,Sports,40.41,West
1097,Whey Protein Powder,Grocery,29.17,West
1098,Rain Jacket,Clothing,142.69,West
1099,Cotton Oxford Shirt,Clothing,34.72,South
1100,Yoga Mat,Sports,154.85,South
1101,Extra Virgin Olive Oil,Grocery,38.89,West
1102,Storage Ottoman,Furniture,34.46,East
1103,Organic Rolled Oats,Grocery,25.71,South
1104,Cotton Oxford Shirt,Clothing,40.39,South
1105,Smart Fitness Tracker,Electronics,29.61,South
1106,USB-C Docking Station,Electronics,18.29,East
1107,Cold Brew Coffee Concentrate,Grocery,10.63,East
1108,Folding Camping Chair,Furniture,62.97,West
1109,Cotton Oxford Shirt,Clothing,43.48,West
1110,Walnut Bookshelf,Furniture,55.41,West
1111,Portable Blender,Electronics,29.01,North
1112,Gaming Chair with Speakers,Furniture,48.77,North
1113,Folding Camping Chair,Furniture,13.51,South
1114,Carbon Tennis Racket,Sports,96.86,East
1115,Folding Camping Chair,Furniture,46.22,South
1116,Folding Camping Chair,Furniture,30.66,West
1117,Heated Winter Gloves,Clothing,10.83,West
1118,Compression Running Tights,Sports,86.8,East
1119,Folding Camping Chair,Furniture,16.95,West
1120,Heated Winter Gloves,Clothing,30.42,North
