product_id,product_name,product_type,p_Sports,p_Grocery,p_Clothing,p_Electronics,p_Furniture
1033,Rain Jacket,Clothing,0.1695,0.1823,0.1426,0.3109,0.1947
1034,Compression Running Tights,Sports,0.4245,0.0106,0.4417,0.0396,0.0836
1035,Dark Chocolate Bar,Grocery,0.0422,0.8655,0.0079,0.0422,0.0422
1036,Dark Chocolate Bar,Grocery,0.0715,0.8617,0.0239,0.0321,0.0108
1037,Extra Virgin Olive Oil,Grocery,0.0020,0.8090,0.1654,0.0208,0.0028
1038,Organic Rolled Oats,Grocery,0.1740,0.3426,0.0979,0.3323,0.0532
1039,Standing Desk Frame,Furniture,0.0094,0.0094,0.0094,0.0030,0.9688
1040,Compression Running Tights,Sports,0.3870,0.0144,0.4182,0.1239,0.0565
1041,Slim-Fit Chinos,Clothing,0.0124,0.0118,0.9531,0.0171,0.0056
1042,Bluetooth Bike Computer,Electronics,0.0578,0.0256,0.0556,0.8355,0.0255
1043,Adjustable Dumbbells,Sports,0.8195,0.0527,0.0413,0.0420,0.0445
1044,Gaming Chair with Speakers,Furniture,0.0262,0.0377,0.0347,0.0463,0.8551
1045,Adjustable Dumbbells,Sports,0.8383,0.0172,0.0719,0.0155,0.0571
1046,Cotton Oxford Shirt,Clothing,0.0046,0.8891,0.0917,0.0127,0.0019
1047,Smart Fitness Tracker,Electronics,0.4856,0.0444,0.0064,0.4466,0.0170
1048,27-inch 4K Monitor,Electronics,0.7958,0.0318,0.0273,0.1177,0.0274
1049,Merino Wool Sweater,Clothing,0.2802,0.2373,0.0909,0.1190,0.2726
1050,27-inch 4K Monitor,Electronics,0.1101,0.0127,0.0073,0.8143,0.0556
1051,Gaming Chair with Speakers,Furniture,0.1745,0.0877,0.0513,0.3321,0.3544
1052,Yoga Leggings,Clothing,0.2099,0.2696,0.1319,0.1760,0.2126
1053,Football Size 5,Sports,0.9258,0.0209,0.0209,0.0209,0.0115
1054,Slim-Fit Chinos,Clothing,0.0011,0.0161,0.9506,0.0161,0.0161
1055,Dark Chocolate Bar,Grocery,0.0856,0.6829,0.0759,0.0274,0.1282
1056,Mountain Bike Helmet,Sports,0.8885,0.0212,0.0301,0.0301,0.0301
1057,Carbon Tennis Racket,Sports,0.9516,0.0133,0.0085,0.0133,0.0133
1058,Organic Rolled Oats,Grocery,0.0490,0.8431,0.0099,0.0490,0.0490
1059,Merino Wool Sweater,Clothing,0.0167,0.0570,0.8123,0.0570,0.0570
1060,Yoga Leggings,Clothing,0.2760,0.0254,0.6150,0.0366,0.0470
1061,Oak Dining Table,Furniture,0.0432,0.0304,0.0471,0.0135,0.8658
1062,Rain Jacket,Clothing,0.2632,0.1496,0.2240,0.1747,0.1885
1063,Folding Camping Chair,Furniture,0.2627,0.1347,0.0606,0.0212,0.5208
1064,Oak Dining Table,Furniture,0.0522,0.0522,0.0522,0.0213,0.8221
1065,Compression Running Tights,Sports,0.6615,0.0092,0.2361,0.0350,0.0582
1066,Wireless Noise-Cancelling Headphones,Electronics,0.0733,0.0045,0.0444,0.8027,0.0751
1067,Mechanical Keyboard,Electronics,0.0397,0.4730,0.0109,0.4692,0.0072
1068,Bluetooth Bike Computer,Electronics,0.4553,0.0475,0.0034,0.4686,0.0252
1069,Football Size 5,Sports,0.4023,0.0254,0.0502,0.0820,0.4401
1070,Extra Virgin Olive Oil,Grocery,0.1183,0.3248,0.3581,0.1269,0.0719
1071,Yoga Mat,Sports,0.8290,0.0479,0.0479,0.0479,0.0273
1072,Bluetooth Bike Computer,Electronics,0.4015,0.0098,0.0821,0.3895,0.1171
1073,Whey Protein Powder,Grocery,0.0169,0.9660,0.0026,0.0063,0.0082
1074,Storage Ottoman,Furniture,0.0022,0.0358,0.0097,0.0316,0.9207
1075,Rain Jacket,Clothing,0.4807,0.0078,0.4857,0.0186,0.0072
1076,Wireless Noise-Cancelling Headphones,Electronics,0.0710,0.0241,0.0615,0.8168,0.0266
1077,Cotton Oxford Shirt,Clothing,0.0688,0.0152,0.6577,0.2088,0.0495
1078,Carbon Tennis Racket,Sports,0.2470,0.2350,0.1832,0.2117,0.1231
1079,Cold Brew Coffee Concentrate,Grocery,0.1683,0.1714,0.1742,0.2388,0.2473
1080,Gaming Chair with Speakers,Furniture,0.3609,0.1916,0.1627,0.0915,0.1933
1081,Yoga Leggings,Clothing,0.0506,0.0116,0.8721,0.0346,0.0311
1082,Oak Dining Table,Furniture,0.0089,0.0340,0.0434,0.0264,0.8873
1083,Football Size 5,Sports,0.4066,0.0255,0.0974,0.0464,0.4241
1084,Yoga Mat,Sports,0.8076,0.0632,0.0030,0.0463,0.0799
1085,Smart LED Desk Lamp,Electronics,0.0379,0.0656,0.0883,0.4005,0.4077
1086,Rain Jacket,Clothing,0.0319,0.0535,0.8076,0.0535,0.0535
1087,Insulated Water Bottle,Sports,0.3618,0.3415,0.0989,0.0247,0.1731
1088,Adjustable Dumbbells,Sports,0.8947,0.0186,0.0289,0.0289,0.0289
1089,Whey Protein Powder,Grocery,0.3069,0.6703,0.0080,0.0140,0.0008
1090,Organic Rolled Oats,Grocery,0.2478,0.3438,0.0434,0.3317,0.0333
1091,27-inch 4K Monitor,Electronics,0.1146,0.0750,0.1733,0.6203,0.0168
1092,Electrolyte Drink Mix,Grocery,0.3743,0.3974,0.1280,0.0840,0.0163
1093,Slim-Fit Chinos,Clothing,0.0593,0.0890,0.6231,0.0640,0.1646
1094,Mechanical Keyboard,Electronics,0.0524,0.0238,0.0070,0.6568,0.2600
1095,Oak Dining Table,Furniture,0.0105,0.0065,0.0098,0.0067,0.9665
1096,Running Shoes,Sports,0.4501,0.0162,0.4494,0.0247,0.0596
1097,Whey Protein Powder,Grocery,0.0158,0.9433,0.0127,0.0125,0.0157
1098,Rain Jacket,Clothing,0.3326,0.1142,0.3673,0.0512,0.1347
1099,Cotton Oxford Shirt,Clothing,0.0302,0.0418,0.8502,0.0431,0.0347
1100,Yoga Mat,Sports,0.2519,0.2956,0.1093,0.2454,0.0978
1101,Extra Virgin Olive Oil,Grocery,0.0703,0.3932,0.0584,0.3518,0.1263
1102,Storage Ottoman,Furniture,0.0110,0.0080,0.0109,0.0126,0.9575
1103,Organic Rolled Oats,Grocery,0.0965,0.5825,0.1830,0.1198,0.0182
1104,Cotton Oxford Shirt,Clothing,0.0461,0.3337,0.5479,0.0336,0.0387
1105,Smart Fitness Tracker,Electronics,0.0035,0.0253,0.0253,0.9206,0.0253
1106,USB-C Docking Station,Electronics,0.0280,0.0097,0.0280,0.9063,0.0280
1107,Cold Brew Coffee Concentrate,Grocery,0.0017,0.8949,0.0925,0.0011,0.0098
1108,Folding Camping Chair,Furniture,0.4860,0.0234,0.0208,0.0131,0.4567
1109,Cotton Oxford Shirt,Clothing,0.0057,0.0205,0.9328,0.0205,0.0205
1110,Walnut Bookshelf,Furniture,0.0443,0.0089,0.0094,0.0838,0.8536
1111,Portable Blender,Electronics,0.0515,0.8381,0.0385,0.0680,0.0039
1112,Gaming Chair with Speakers,Furniture,0.0268,0.1177,0.0553,0.1662,0.6340
1113,Folding Camping Chair,Furniture,0.1373,0.0589,0.0157,0.0697,0.7184
1114,Carbon Tennis Racket,Sports,0.8108,0.0612,0.0605,0.0656,0.0019
1115,Folding Camping Chair,Furniture,0.8117,0.0523,0.0523,0.0523,0.0314
1116,Folding Camping Chair,Furniture,0.0035,0.0199,0.0199,0.0199,0.9368
1117,Heated Winter Gloves,Clothing,0.1176,0.0320,0.3784,0.4000,0.0720
1118,Compression Running Tights,Sports,0.9656,0.0102,0.0038,0.0102,0.0102
1119,Folding Camping Chair,Furniture,0.0221,0.0568,0.0568,0.0568,0.8075
1120,Heated Winter Gloves,Clothing,0.0065,0.0151,0.9479,0.0244,0.0061
